Last login: Thu Feb 20 14:08:16 on console
maclab-123:~ huber021$ ps
  PID TTY           TIME CMD
78570 ttys000    0:00.01 -bash
maclab-123:~ huber021$ ps x
  PID   TT  STAT      TIME COMMAND
huber021         78600   0.0  0.1  4829320  15456   ??  Ss    2:10PM   0:00.04 /System/Library/Frameworks/Metal.framework/Versions/A/XPCS
huber021         78599   0.0  0.1  4363688  21512   ??  S     2:10PM   0:00.30 /System/Library/PrivateFrameworks/AppStoreDaemon.framework
huber021         78598   0.0  0.1  4319244   9628   ??  S     2:10PM   0:00.02 /System/Library/PrivateFrameworks/CoreFollowUp.framework/V
huber021         78594   0.0  0.1  4357980  16048   ??  S     2:09PM   0:00.06 /usr/libexec/silhouette
huber021         78593   0.0  0.1  4354804  12688   ??  S     2:09PM   0:00.05 /System/Library/PrivateFrameworks/UsageTracking.framework/
huber021         78592   0.0  0.0  4357100   7676   ??  S     2:09PM   0:00.06 /System/Library/CoreServices/ScopedBookmarkAgent
huber021         78591   0.0  0.1  4359176  14416   ??  S     2:09PM   0:00.05 /System/Library/Frameworks/CoreServices.framework/Framewor
huber021         78590   0.0  0.1  4361952  14832   ??  Ss    2:09PM   0:00.03 /System/Library/PrivateFrameworks/XprotectFramework.framew
huber021         78589   0.0  0.6  5069348 107528   ??  S     2:09PM   0:03.65 /Applications/Preview.app/Contents/MacOS/Preview -psn_0_96
huber021         78588   0.0  0.1  4367368  14576   ??  S     2:09PM   0:00.10 /System/Library/Frameworks/CoreServices.framework/Framewor
huber021         78587   0.0  0.0  4327764   6768   ??  S     2:09PM   0:00.01 /System/Library/Frameworks/CoreServices.framework/Framewor
huber021         78586   0.0  0.2  4894424  33816   ??  Ss    2:09PM   0:00.07 /Applications/Safari.app/Contents/XPCServices/com.apple.Sa
huber021         78583   0.0  0.1  4354724  19568   ??  S     2:09PM   0:00.06 /System/Library/PrivateFrameworks/IMDPersistence.framework
huber021         78582   0.0  0.1  4367376  14644   ??  S     2:09PM   0:00.61 /System/Library/Frameworks/CoreServices.framework/Framewor
huber021         78581   0.0  0.1  4333600  17200   ??  S     2:09PM   0:00.04 /System/Library/Frameworks/CoreServices.framework/Framewor
huber021         78580   0.0  0.1  4341720  18572   ??  S     2:09PM   0:00.06 /System/Library/Frameworks/CoreServices.framework/Framewor
huber021         78579   0.0  0.2  4888892  31776   ??  Ss    2:09PM   0:00.07 /System/Library/CoreServices/Siri.app/Contents/XPCServices
huber021         78577   0.0  0.2  4353856  28392   ??  S     2:09PM   0:00.06 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/
huber021         78570   0.0  0.0  4306776   1636 s000  S     2:09PM   0:00.02 -bash
root             78569   0.0  0.0  4327184   5944 s000  Ss    2:09PM   0:00.02 login -pf huber021
huber021         78567   0.0  0.1  4362768  19076   ??  Ss    2:09PM   0:00.22 /System/Library/PrivateFrameworks/CommerceKit.framework/Ve
huber021         78564   0.0  0.1  4368124  14096   ??  S     2:09PM   0:00.05 /System/Library/Frameworks/CoreServices.framework/Framewor
huber021         78562   0.0  0.1  4341728  20236   ??  S     2:09PM   0:00.11 /System/Library/Frameworks/CoreServices.framework/Framewor
huber021         78561   0.0  0.1  4343344  19408   ??  S     2:09PM   0:00.05 /System/Library/Frameworks/CoreServices.framework/Framewor
huber021         78560   0.0  0.1  4341932  19816   ??  S     2:09PM   0:00.14 /System/Library/Frameworks/CoreServices.framework/Framewor
huber021         78559   0.0  0.2  4358520  30000   ??  S     2:09PM   0:00.07 /System/Library/Frameworks/CoreServices.framework/Framewor
huber021         78557   0.0  0.1  4835956  15448   ??  Ss    2:09PM   0:00.05 /System/Library/Frameworks/Metal.framework/Versions/A/XPCS
huber021         78553   0.0  0.1  4363472  17552   ??  S     2:08PM   0:00.08 /usr/libexec/keyboardservicesd
huber021         78552   0.0  0.3  4424712  48464   ??  S     2:08PM   0:00.54 /System/Library/Services/AppleSpell.service/Contents/MacOS
bazze002         78550   0.0  0.1  4359988  10488   ??  S     2:08PM   0:00.13 /usr/libexec/trustd --agent
hall0074         78549   0.0  0.1  4360512  11644   ??  S     2:08PM   0:00.13 /usr/libexec/trustd --agent
might001         78548   0.0  0.1  4360448  11120   ??  S     2:08PM   0:00.13 /usr/libexec/trustd --agent
luchs001         78547   0.0  0.1  4360252  10768   ??  S     2:08PM   0:00.11 /usr/libexec/trustd --agent
bui00002         78546   0.0  0.1  4358008  10612   ??  S     2:08PM   0:00.12 /usr/libexec/trustd --agent
huber021         78531   0.0  0.2  4318140  27144   ??  S     2:08PM   0:00.02 /System/Library/CoreServices/EscrowSecurityAlert.app/Conte
huber021         78525   0.0  0.1  4354520  11804   ??  Ss    2:08PM   0:00.02 /System/Library/PrivateFrameworks/FMClient.framework/Versi
huber021         78524   0.0  0.1  4354620  14336   ??  S     2:08PM   0:00.03 /usr/libexec/siriknowledged
